name,province,fuel,capacity_mwe,status,units_included,level
An Khánh - Bac Giang,Bac Giang,coal,650,4 permitted,An Khánh - Bac Giang,plant
An Khánh 1,Thai Nguyen,coal,116,6 operating,"An Khánh 1 Unit 1, An Khánh 1 Unit 2",plant
Bà Rịa GT,Bà Rịa-Vũng Tàu,gas,46,6 operating,Bà Rịa GT,plant
Bạc Liêu 1,Bạc Liêu,coal,1200,9 cancelled,"Bạc Liêu 1 Unit 1, Bạc Liêu 1 Unit 2",plant
Bảo Đài,,coal,600,9 cancelled,Bảo Đài,plant
Cam Pha 3,Quảng Ninh,coal,440,1 announced,"Cam Pha 3 Unit 1, Cam Pha 3 Unit 2",plant
Cao Ngạn,Thai Nguyen,coal,114,6 operating,"Cao Ngạn Unit 1, Cao Ngạn Unit 2",plant
Cong Thanh,Thanh Hóa,coal,600,9 cancelled,"Cong Thanh Unit 1, Cong Thanh Unit 2",plant
Cà Mau I,Cà Mau,gas,771,6 operating,Cà Mau I,plant
Cà Mau II,Cà Mau,gas,771,6 operating,Cà Mau II,plant
Cẩm Phả 1,Quảng Ninh,coal,340,6 operating,Cẩm Phả 1,plant
Cẩm Phả 2,Quảng Ninh,coal,340,6 operating,Cẩm Phả 2,plant
Dong Nai Formosa,Đồng Nai,coal,450,6 operating,"Dong Nai Formosa Unit 1, Dong Nai Formosa Unit 2, Dong Nai Formosa Unit 3",plant
Duc Giang - Lao Cai Chemical,Lao Cai,coal,100,2 proposed,"Duc Giang - Lao Cai Chemical Unit 1, Duc Giang - Lao Cai Chemical Unit 2",plant
Dung Quat Special Economic Zone (J-Power) Phase I,Quảng Ngãi,coal,2400,1 announced,Dung Quat Special Economic Zone (J-Power) Phase I,plant
Dung Quat Special Economic Zone (J-Power) Phase II,Quảng Ngãi,coal,2000,1 announced,Dung Quat Special Economic Zone (J-Power) Phase II,plant
Duyen Hai 1,Tra Vinh,coal,1244,6 operating,"Duyen Hai 1 Unit 1, Duyen Hai 1 Unit 2",plant
Duyen Hai 3,Tra Vinh,coal,1904,6 operating,"Duyen Hai 3 Extension, Duyen Hai 3 Unit 1, Duyen Hai 3 Unit 2",plant
Duyên Hải 2,Tra Vinh,coal,1200,6 operating,"Duyên Hải 2 Unit 1, Duyên Hải 2 Unit 2",plant
Formosa HT2,Hà Tĩnh,coal,650,1 announced,Formosa HT2,plant
Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh,coal,900,6 operating,"Ha Tinh Formosa Plastics Steel Complex Unit 1, Ha Tinh Formosa Plastics Steel Complex Unit 10, Ha Tinh Formosa Plastics Steel Complex Unit 2, Ha Tinh Formosa Plastics Steel Complex Unit 5, Ha Tinh Formosa Plastics Steel Complex Unit 6, Ha Tinh Formosa Plastics Steel Complex Unit 7",plant
Hai Duong,Hai Duong,coal,1200,6 operating,"Hai Duong Unit 1, Hai Duong Unit 2",plant
Hai Ha CHP Phase 1,Quảng Ninh,coal,150,2 proposed,"Hai Ha CHP Phase 1 Unit 1, Hai Ha CHP Phase 1 Unit 2, Hai Ha CHP Phase 1 Unit 3",plant
Hai Ha CHP Phase 2,Quảng Ninh,coal,750,2 proposed,"Hai Ha CHP Phase 2 Unit 1, Hai Ha CHP Phase 2 Unit 2, Hai Ha CHP Phase 2 Unit 3, Hai Ha CHP Phase 2 Unit 4, Hai Ha CHP Phase 2 Unit 5",plant
Hai Ha CHP Phase 3,Quảng Ninh,coal,600,2 proposed,"Hai Ha CHP Phase 3 Unit 1, Hai Ha CHP Phase 3 Unit 2",plant
Hai Ha CHP Phase 4,Quảng Ninh,coal,600,2 proposed,"Hai Ha CHP Phase 4 Unit 1, Hai Ha CHP Phase 4 Unit 2",plant
Hai Phong 1,Hải Phòng,coal,600,6 operating,"Hai Phong 1 Unit 1, Hai Phong 1 Unit 2",plant
Hai Phong 2,Hải Phòng,coal,600,6 operating,"Hai Phong 2 Unit 3, Hai Phong 2 Unit 4",plant
