match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Tập đoàn Điện lực Việt Nam (EVN),bac giang,binh thuan,coal,coal,650.0,600.0,7.7,True,False,False,,,44.99999999999999
exact_capacity_diff,An Khánh 1,UBND tỉnh Nghệ An,thai nguyen,nghe an,coal,coal,116.0,1.0,99.1,True,False,False,,,50.0
exact_capacity_diff,Bà Rịa GT,Công ty Cổ phần Nhiệt điện Sóc Trăng,ba ria - vung tau,soc trang,gas,coal,46.0,1.0,97.8,False,False,False,,,53.333333333333336
exact_capacity_diff,Cam Pha 3,Tổng Công ty Phát điện 3 (EVN GENCO 3),quang ninh,bac giang,coal,coal,440.0,0.0,100.0,True,False,False,,,55.55555555555556
exact_capacity_diff,Cao Ngạn,Công ty Cổ phần Nhiệt điện Hậu Giang,thai nguyen,hau giang,coal,coal,114.0,1.0,99.1,True,False,False,,,66.66666666666667
exact_capacity_diff,Cong Thanh,Tổng Công ty Than - Vàng (Vinacomin),thanh hoa,variable (<50 mwe each),coal,coal,600.0,0.0,100.0,True,False,False,,,70.0
exact_capacity_diff,Cẩm Phả 1,Tổng Công ty Phát điện 2 (EVN GENCO 2),quang ninh,quang ninh,coal,coal,340.0,0.0,100.0,True,False,True,,,55.55555555555556
exact_capacity_diff,Cẩm Phả 2,Tổng Công ty Hóa chất Việt Nam – Vinachem,quang ninh,50,coal,coal,340.0,0.0,100.0,True,False,False,,,55.55555555555556
exact_capacity_diff,Dong Nai Formosa,Tổng Công ty Phát điện 3 (EVN GENCO 3),đong nai,bac giang,coal,coal,150.0,1.0,99.3,True,False,False,,,46.15384615384615
exact_capacity_diff,Dong Nai Formosa,Công ty Cổ phần Xi măng Bỉm Sơn,đong nai,36,coal,coal,300.0,0.0,100.0,True,False,False,,,46.666666666666664
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Tập đoàn Điện lực Việt Nam (EVN),lao cai,binh thuan,coal,coal,100.0,1.0,99.0,True,False,False,,,40.0
fuzzy_capacity_diff,Duyen Hai 1,Nhà máy nhiệt điện than Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1.0,99.9,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 2,Nhà máy nhiệt điện than Duyên Hải 3,tra vinh,tra vinh,coal,coal,600.0,1.0,99.8,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 3,Nhà máy nhiệt điện than Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1.0,99.9,True,True,True,,,90.9090909090909
exact_capacity_diff,Duyen Hai 3 Extension,UBND tỉnh Yên Bái,tra vinh,yen bai,coal,coal,660.0,525.0,20.5,True,False,False,,,53.84615384615385
fuzzy_capacity_diff,Duyên Hải 2,Nhà máy nhiệt điện than Duyên Hải 1,tra vinh,tra vinh,coal,coal,1200.0,1.0,99.9,True,True,True,,,90.9090909090909
exact_capacity_diff,Formosa HT2,UBND tỉnh Tuyên Quang,ha tinh,tuyen quang,coal,coal,650.0,525.0,19.2,True,True,False,,,27.27272727272727
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Tổng Công ty Than - Than Donc Moi (TKV),ha tinh,quang ninh,coal,coal,450.0,150.0,66.7,True,False,False,,,39.13043478260869
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,UBND tỉnh Thanh Hóa,ha tinh,thanh hoa,coal,coal,450.0,1.0,99.8,True,False,False,,,48.275862068965516
fuzzy_capacity_diff,Hai Duong,Công ty Cổ phần Điện lực Hải Dương,hai duong,hai duong,coal,coal,1200.0,1.0,99.9,True,False,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Tổng Công ty Điện lực Dầu khí Việt Nam – EVN-PV Power,quang ninh,son la,coal,coal,150.0,1.0,99.3,True,False,False,,,40.0
exact_capacity_diff,Hai Ha CHP Phase 3,Tập đoàn Điện lực Việt Nam (EVN),quang ninh,binh thuan,coal,coal,600.0,600.0,0.0,True,False,False,,,38.888888888888886
exact_capacity_diff,Hai Ha CHP Phase 4,Công ty Cổ phần Thủy điện Sông Ba Hạ – TBCC,quang ninh,120,coal,coal,600.0,0.0,100.0,True,False,False,,,47.05882352941176
